id,match_api_id,match_date,home_team_api_id,away_team_api_id,away_player_5_name,away_player_5_rating,away_player_5_potential
21518,530023,2008-08-30 00:00:00,10267,8661,Enrique Corrales,75,75
21519,530084,2008-08-31 00:00:00,8371,10205,Joan Capdevila,80,83
21520,530085,2008-08-31 00:00:00,9783,8633,Marcelo,75,83
21521,530086,2008-08-31 00:00:00,8388,8634,Eric Abidal,84,89
21522,530087,2008-08-31 00:00:00,8696,8302,Fernando Navarro,77,80
21523,530088,2008-08-31 00:00:00,9869,8305,Lucas Matias Licht,76,80
21524,530089,2008-08-31 00:00:00,8603,8479,Hipolito Poli,71,73
21525,530090,2008-08-30 00:00:00,8558,10281,Alberto Rey,71,76
21526,530091,2008-08-31 00:00:00,8315,9865,Mane,67,68
21527,530092,2008-08-31 00:00:00,9906,9864,Nacho Perez,73,79
21528,530233,2008-11-09 00:00:00,8302,8479,Hipolito Poli,71,73
21529,530234,2008-11-09 00:00:00,8696,9869,Roberto Canella,64,69
21530,530235,2008-11-09 00:00:00,8388,8603,Fernando Vega,67,68
21531,530236,2008-11-09 00:00:00,9783,8558,Gregory Beranger,70,73
21532,530237,2008-11-09 00:00:00,8371,9906,Mariano Pernia,74,79
21533,530238,2008-11-09 00:00:00,10205,9865,Mane,67,68
21534,530239,2008-11-08 00:00:00,8633,9864,Javier Calleja,71,73
21535,530240,2008-11-08 00:00:00,8634,10281,Alberto Rey,71,76
21536,530241,2008-11-09 00:00:00,8305,10267,Emiliano Moretti,76,83
21537,530242,2008-11-09 00:00:00,8661,8315,Mikel Balenziaga,66,72
21538,530243,2008-11-16 00:00:00,8603,8696,Laszlo Sepsi,70,78
21539,530244,2008-11-15 00:00:00,10267,9869,Roberto Canella,64,69
21540,530245,2008-11-16 00:00:00,8558,8388,Domingo Cisma,68,71
21541,530246,2008-11-16 00:00:00,9906,9783,Filipe Luis,78,85
21542,530247,2008-11-16 00:00:00,8315,8371,Oier,61,73
21543,530248,2008-11-16 00:00:00,9865,8661,Enrique Corrales,75,75
21544,530249,2008-11-16 00:00:00,9864,10205,Joan Capdevila,80,83
21545,530250,2008-11-15 00:00:00,10281,8633,Marcelo,75,83
21546,530251,2008-11-16 00:00:00,8305,8302,Fernando Navarro,77,80
21547,530252,2008-11-16 00:00:00,8479,8634,Carles Puyol,88,90
21548,530253,2008-11-23 00:00:00,8696,8558,Gregory Beranger,70,73
21549,530254,2008-11-22 00:00:00,10205,10281,Alberto Rey,71,76
21550,530255,2008-11-23 00:00:00,8634,8305,Lucas Matias Licht,76,80
21551,530256,2008-11-22 00:00:00,8302,10267,Emiliano Moretti,76,83
21552,530257,2008-11-23 00:00:00,8371,9865,Guilherme Santos,70,82
21553,530258,2008-11-23 00:00:00,9783,8315,Mikel Balenziaga,66,72
21554,530259,2008-11-23 00:00:00,8661,9864,Javier Calleja,71,73
21555,530260,2008-11-22 00:00:00,8633,8479,Jose Manuel Casado,63,73
21556,530261,2008-11-23 00:00:00,8388,9906,Mariano Pernia,74,79
21557,530262,2008-11-23 00:00:00,9869,8603,Fabian Monzon,65,77
21558,530263,2008-11-30 00:00:00,9865,9783,Filipe Luis,78,85
21559,530324,2008-11-30 00:00:00,8479,10205,Joan Capdevila,80,83
21560,530325,2008-11-30 00:00:00,8558,9869,Roberto Canella,64,69
21561,530326,2008-11-30 00:00:00,9906,8696,Ivan Marcano,56,68
21562,530327,2008-11-30 00:00:00,10267,8603,Fabian Monzon,65,77
21563,530328,2008-11-30 00:00:00,10281,8661,Enrique Corrales,75,75
21564,530329,2008-11-29 00:00:00,8302,8634,Carles Puyol,88,90
21565,530330,2008-11-30 00:00:00,9864,8371,Oier,61,73
21566,530331,2008-11-29 00:00:00,8305,8633,Marcelo,75,83
21567,530332,2008-11-30 00:00:00,8315,8388,Domingo Cisma,68,71
21568,530333,2008-12-07 00:00:00,9783,9864,Javier Calleja,71,73
21569,530334,2008-12-07 00:00:00,8371,10281,Alberto Rey,71,76
21570,530335,2008-12-07 00:00:00,8661,8479,Hipolito Poli,71,73
21571,530336,2008-12-06 00:00:00,10205,8305,Lucas Matias Licht,76,80
21572,530337,2008-12-06 00:00:00,8634,10267,Asier del Horno,76,82
21573,530338,2008-12-07 00:00:00,8388,9865,Guilherme Santos,70,82
21574,530339,2008-12-07 00:00:00,8696,8315,Koikili Campo,67,70
21575,530340,2008-12-07 00:00:00,8603,8558,Gregory Beranger,70,73
21576,530341,2008-12-07 00:00:00,8633,8302,Fernando Navarro,77,80
21577,530342,2008-12-06 00:00:00,9869,9906,Mariano Pernia,74,79
21578,530343,2008-12-13 00:00:00,8634,8633,Sergio Ramos,85,92
21579,530344,2008-12-14 00:00:00,8315,9869,Roberto Canella,64,69
21580,530345,2008-12-14 00:00:00,9906,8603,Fernando Vega,67,68
21581,530346,2008-12-14 00:00:00,9865,8696,Ivan Marcano,56,68
21582,530347,2008-12-14 00:00:00,10281,9783,Filipe Luis,78,85
21583,530348,2008-12-14 00:00:00,8479,8371,Nacho Monreal,68,73
21584,530349,2008-12-14 00:00:00,8305,8661,Enrique Corrales,75,75
21585,530350,2008-12-14 00:00:00,8302,10205,Joan Capdevila,80,83
21586,530351,2008-12-13 00:00:00,10267,8558,Gregory Beranger,70,73
21587,530352,2008-12-14 00:00:00,9864,8388,Domingo Cisma,68,71
21588,530353,2008-12-21 00:00:00,8603,8315,Mikel Balenziaga,66,72
21589,530354,2008-12-21 00:00:00,9869,9865,Mane,67,68
21590,530355,2008-12-21 00:00:00,8696,9864,Nacho Perez,73,79
21591,530356,2008-12-21 00:00:00,9783,8479,Hipolito Poli,71,73
21592,530357,2008-12-21 00:00:00,8661,8302,Fernando Navarro,77,80
21593,530358,2008-12-21 00:00:00,10205,8634,Carles Puyol,88,90
21594,530359,2008-12-20 00:00:00,8633,10267,Asier del Horno,76,82
21595,530360,2008-12-20 00:00:00,8558,9906,Mariano Pernia,74,79
21596,530361,2008-12-21 00:00:00,8388,10281,Alberto Rey,71,76
21597,530362,2008-12-21 00:00:00,8371,8305,Lucas Matias Licht,76,80
21598,530363,2009-01-04 00:00:00,8305,9783,Filipe Luis,78,85
21599,530364,2009-01-04 00:00:00,9864,9869,Raul Camara,64,69
21600,530365,2009-01-04 00:00:00,10281,8696,Ivan Marcano,56,68
