id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,home_team_name,away_team_api_id,away_team_name,home_team_goal,away_team_goal,avg_home_prob,avg_draw_prob,avg_away_prob
1729,1729,1729,2008/2009,1,2008-08-17 00:00:00,489042,10260,Manchester United,10261,Newcastle United,1,1,0.7170180708237397,0.19105407161386923,0.09192785756239091
1730,1729,1729,2008/2009,1,2008-08-16 00:00:00,489043,9825,Arsenal,8659,West Bromwich Albion,1,0,0.7576070226562304,0.16663827090494399,0.07575470643882569
1731,1729,1729,2008/2009,1,2008-08-16 00:00:00,489044,8472,Sunderland,8650,Liverpool,0,1,0.18705553609124712,0.26535355761438717,0.5475909062943658
1732,1729,1729,2008/2009,1,2008-08-16 00:00:00,489045,8654,West Ham United,8528,Wigan Athletic,2,1,0.48841725577892503,0.27884707824802396,0.23273566597305095
1733,1729,1729,2008/2009,1,2008-08-17 00:00:00,489046,10252,Aston Villa,8456,Manchester City,4,2,0.478856311396732,0.2795925463327682,0.2415511422704998
1734,1729,1729,2008/2009,1,2008-08-16 00:00:00,489047,8668,Everton,8655,Blackburn Rovers,2,3,0.46829874970817403,0.2837240492684418,0.24797720102338416
1735,1729,1729,2008/2009,1,2008-08-16 00:00:00,489048,8549,Middlesbrough,8586,Tottenham Hotspur,2,1,0.31191966695167633,0.27965157263593116,0.4084287604123926
1736,1729,1729,2008/2009,1,2008-08-16 00:00:00,489049,8559,Bolton Wanderers,10194,Stoke City,3,1,0.5108101309240525,0.2777614428959933,0.21142842617995428
1737,1729,1729,2008/2009,1,2008-08-16 00:00:00,489050,8667,Hull City,9879,Fulham,2,1,0.3664940297567814,0.2867733796670751,0.3467325905761434
1738,1729,1729,2008/2009,1,2008-08-17 00:00:00,489051,8455,Chelsea,8462,Portsmouth,4,0,0.7022245209171392,0.19909543869220248,0.09868004039065846
1739,1729,1729,2008/2009,10,2008-10-29 00:00:00,489132,10260,Manchester United,8654,West Ham United,2,0,0.7654742377310604,0.16531038360524308,0.06921537866369648
1740,1729,1729,2008/2009,10,2008-10-29 00:00:00,489133,9825,Arsenal,8586,Tottenham Hotspur,4,4,0.6447066527462346,0.22850779894477727,0.12678554830898814
1741,1729,1729,2008/2009,10,2008-10-29 00:00:00,489134,8549,Middlesbrough,8456,Manchester City,2,0,0.3476220069158525,0.28271667398938827,0.36966131909475913
1742,1729,1729,2008/2009,10,2008-10-29 00:00:00,489135,8559,Bolton Wanderers,8668,Everton,0,1,0.3735340626083972,0.28744728985221674,0.33901864753938604
1743,1729,1729,2008/2009,10,2008-10-29 00:00:00,489136,8667,Hull City,8455,Chelsea,0,3,0.13231639742925747,0.23150179353315994,0.6361818090375826
1744,1729,1729,2008/2009,10,2008-10-29 00:00:00,489137,10194,Stoke City,8472,Sunderland,1,0,0.3700791126716613,0.2876728327098049,0.34224805461853375
1745,1729,1729,2008/2009,10,2008-10-29 00:00:00,489138,8650,Liverpool,8462,Portsmouth,1,0,0.6819224648653719,0.21239715590515285,0.10568037922947521
1746,1729,1729,2008/2009,10,2008-10-29 00:00:00,489139,10252,Aston Villa,8655,Blackburn Rovers,3,2,0.549257462238955,0.2650124622429246,0.18573007551812035
1747,1729,1729,2008/2009,10,2008-10-28 00:00:00,489140,10261,Newcastle United,8659,West Bromwich Albion,2,1,0.4940385314886993,0.27562823230819017,0.23033323620311041
1748,1729,1729,2008/2009,10,2008-10-29 00:00:00,489141,9879,Fulham,8528,Wigan Athletic,2,0,0.40017463969265454,0.28622086592393414,0.31360449438341126
1749,1729,1729,2008/2009,11,2008-11-01 00:00:00,489142,10260,Manchester United,8667,Hull City,4,3,0.7886756356336916,0.14949908067936557,0.06182528368694281
1750,1729,1729,2008/2009,11,2008-11-01 00:00:00,489143,8586,Tottenham Hotspur,8650,Liverpool,2,1,0.2693413025922612,0.28226623452246336,0.4483924628852755
1751,1729,1729,2008/2009,11,2008-11-01 00:00:00,489144,8668,Everton,9879,Fulham,1,0,0.5439277907818548,0.26856761166416415,0.18750459755398105
1752,1729,1729,2008/2009,11,2008-11-01 00:00:00,489145,8549,Middlesbrough,8654,West Ham United,1,1,0.46912686864318853,0.2815574561650751,0.24931567519173642
