id,match_api_id,match_date,home_team_api_id,away_team_api_id,home_player_6_name,home_player_6_overall_rating,home_player_6_potential,home_player_6_preferred_foot,home_player_6_attacking_work_rate,home_player_6_defensive_work_rate,home_player_6_crossing,home_player_6_finishing,home_player_6_heading_accuracy,home_player_6_short_passing,home_player_6_volleys,home_player_6_dribbling,home_player_6_curve,home_player_6_free_kick_accuracy,home_player_6_long_passing,home_player_6_ball_control,home_player_6_acceleration,home_player_6_sprint_speed,home_player_6_agility,home_player_6_reactions,home_player_6_balance,home_player_6_shot_power,home_player_6_jumping,home_player_6_stamina,home_player_6_strength,home_player_6_long_shots,home_player_6_aggression,home_player_6_interceptions,home_player_6_positioning,home_player_6_vision,home_player_6_penalties,home_player_6_marking,home_player_6_standing_tackle,home_player_6_sliding_tackle,home_player_6_gk_diving,home_player_6_gk_handling,home_player_6_gk_kicking,home_player_6_gk_positioning,home_player_6_gk_reflexes
1729,489042,2008-08-17 00:00:00,10260,10261,Darren Fletcher,74,79,right,medium,high,73,59,69,78,64,62,59,46,71,74,73,73,61,76,76,63,84,89,68,59,66,75,79,80,72,78,72,77,9,22,71,22,22
1730,489043,2008-08-16 00:00:00,9825,8659,Theo Walcott,72,87,right,high,medium,60,70,43,65,73,80,76,32,52,67,94,96,85,78,75,67,57,75,42,56,31,63,62,74,61,31,21,39,9,21,52,21,21
1731,489044,2008-08-16 00:00:00,8472,8650,Steed Malbranque,79,83,right,medium,low,77,80,56,78,74,76,74,61,74,81,78,78,76,79,72,81,69,84,61,70,69,79,80,79,66,33,31,35,10,20,74,20,20
1732,489045,2008-08-16 00:00:00,8654,8528,Julien Faubert,77,81,right,high,medium,80,64,59,72,54,76,77,53,65,76,81,85,71,84,74,81,71,69,62,70,64,66,71,75,75,41,46,63,7,20,65,20,20
1733,489046,2008-08-17 00:00:00,10252,8456,Stiliyan Petrov,81,82,right,medium,medium,66,73,67,82,74,77,43,86,80,88,77,74,81,55,71,78,67,81,77,72,62,82,88,84,79,34,73,69,13,21,80,21,21
1734,489047,2008-08-16 00:00:00,8668,8655,Mikel Arteta,82,83,right,high,medium,86,54,60,87,81,79,86,86,86,85,78,79,84,77,75,85,70,89,69,80,67,78,85,87,63,70,61,66,12,25,86,25,25
1735,489048,2008-08-16 00:00:00,8549,8586,Jeremie Aliadiere,77,79,right,medium,medium,48,77,61,70,67,75,52,31,38,74,85,84,70,74,71,77,60,76,63,59,42,64,71,69,69,15,23,15,7,9,38,12,32
1736,489049,2008-08-16 00:00:00,8559,10194,Joey O'Brien,68,77,right,medium,medium,38,50,71,68,64,56,65,56,64,72,67,71,62,69,74,67,69,77,64,50,66,61,72,69,61,60,73,76,10,22,64,22,22
1737,489050,2008-08-16 00:00:00,8667,9879,Richard Garcia,65,67,right,high,low,66,64,62,58,64,64,56,52,55,67,67,65,60,62,71,70,68,72,70,68,68,57,58,68,63,43,47,40,14,20,55,20,20
1738,489051,2008-08-17 00:00:00,8455,8462,Frank Lampard,85,88,right,high,medium,81,90,61,88,87,76,87,89,90,85,76,74,76,89,83,91,67,86,72,95,70,83,88,89,88,59,60,64,8,22,90,22,22
1739,489132,2008-10-29 00:00:00,10260,8654,Cristiano Ronaldo,91,94,right,high,low,89,92,82,84,85,97,88,94,72,96,95,94,94,85,84,92,91,90,77,85,57,68,73,80,78,27,35,23,9,21,72,21,21
1740,489133,2008-10-29 00:00:00,9825,8586,Theo Walcott,79,87,right,high,medium,72,77,33,69,73,85,76,52,53,75,96,96,85,79,75,69,57,81,46,56,38,57,63,74,65,31,21,39,9,21,53,21,21
1741,489134,2008-10-29 00:00:00,8549,8456,Jeremie Aliadiere,73,79,right,medium,medium,48,77,61,70,67,75,52,31,38,74,85,84,70,74,71,77,60,76,63,59,42,64,71,69,69,15,23,15,7,9,38,12,22
1742,489135,2008-10-29 00:00:00,8559,8668,Mustapha Riga,75,77,right,None,o,76,74,48,74,72,73,68,68,45,74,82,85,73,75,64,71,60,77,58,76,59,77,70,75,72,24,21,18,1,24,45,24,24
1743,489136,2008-10-29 00:00:00,8667,8455,Dean Marney,65,82,right,medium,high,67,61,65,58,73,58,53,46,63,67,68,70,75,58,74,65,80,74,67,60,70,59,64,74,62,63,74,73,7,25,63,25,25
1744,489137,2008-10-29 00:00:00,10194,8472,Tom Soares,68,77,right,medium,medium,66,60,61,71,51,70,61,63,67,71,76,75,63,68,68,66,55,75,68,53,62,65,69,65,64,50,69,55,8,21,67,21,21
1745,489138,2008-10-29 00:00:00,8650,8462,Jermaine Pennant,76,82,right,medium,low,88,57,32,69,60,81,80,33,64,78,84,82,76,60,72,66,65,68,46,61,41,57,59,64,69,30,31,34,8,20,64,20,20
